session_uid,procedure_slug,procedure_id,participant_id,laptop_short,rtaps_session_id,decision_time_synced_t,decision_time_unix_t,window_start_synced_t,window_end_synced_t,pupil_n_samples,pupil_data_yield,pupil_diam_mean,pupil_diam_std,pupil_diam_median,pupil_diam_iqr,pupil_diam_slope,pupil_diam_range,pupil_eye_asymmetry,pupil_pcps_mean,pupil_pcps_std,pupil_diam_mean_z,pupil_diam_slope_z,fixation_count,fixation_rate_per_sec,fixation_dur_mean_ms,fixation_dur_std_ms,fixation_dur_median_ms,fixation_dispersion_mean,fixation_dispersion_std,fixation_time_in_fixation_ratio,fixation_saccade_amp_mean,blink_count,blink_rate_30s,blink_dur_mean_s,blink_dur_std_s,blink_inter_interval_mean_s,blink_inter_interval_cv,blink_long_count,gaze_n_samples,gaze_norm_x_mean,gaze_norm_y_mean,gaze_norm_x_std,gaze_norm_y_std,gaze_region_entropy,gaze_region_top1_ratio,gaze_transitions_per_sec,step_number,step_id,n_steps_remaining,step_threshold_s,time_in_step_so_far_s,is_over_threshold_now,progress_vs_threshold,step_sub_steps_shown_eventually,step_exceeded_threshold_eventually,cumulative_session_time_s,cumulative_blink_count_session,cumulative_long_blink_count_session,frac_window_in_current_step,valid,data_yield,workload_label
loaner__342__column_flushing,column_flushing,2,P13,loaner,sess_1764866684526_aagzlo,9975.595643,1764866651.604618,9965.595643,9975.595643,705.0,0.5875,1.74331747192309,0.17533338183125283,1.768944818032257,0.177437074404164,-0.015586936451541725,1.0940931329074606,0.2700875772619513,-0.07376350110078425,0.07226735537940164,-0.04667825443021546,-0.008523614146812505,136.0,4.533333333333333,140.5017426470482,50.50005276694119,124.0060000000085,1.059640150513043,0.36510378377796787,0.6369412333332851,0.03280666210442888,4.0,4.0,0.8590549999998984,0.6157862866960598,7.937009666666806,0.6512601395068781,3.0,705.0,0.521831416931119,0.657353540121006,0.08498570895266933,0.05204103328720049,1.1478098701339694,0.550354609929078,3.8,13.0,35.0,1.0,69.0,8.078618049621582,0.0,0.11708142100900844,0.0,0.0,238.07861804962158,25.0,12.0,0.8078618049621582,True,0.5875,
lenovo__252__column_flushing,column_flushing,2,P18,lenovo,sess_1764879467319_itgey8,65635.10717357177,1764879158.319,65625.10717357177,65635.10717357177,1367.0,1.1391666666666667,3.3707291521570917,0.33700821520676366,3.3631821291981057,0.6163386518253295,-0.005608609066561386,1.7888383096962777,0.6154573501476475,-0.018919646161716184,0.04550299786148007,-0.015577381727082626,-0.0016379962236480125,118.0,3.933333333333333,121.876169492094,43.90692753179739,99.86250000656582,1.3050175978620817,0.2077017672390486,0.47937960000223634,0.056487234489696586,0.0,0.0,,,,,0.0,1366.0,0.4365000592205441,0.8579614359508099,0.11920616640552506,0.13121562999186945,1.1912833940791157,0.7437774524158126,5.4,1.0,20.0,13.0,27.0,93.0,1.0,3.4444444444444446,0.0,1.0,93.0,16.0,2.0,1.0,True,1.1391666666666667,
lenovo__222__column_flushing,column_flushing,2,P10,lenovo,sess_1764859992796_enrdj2,46204.57477059894,1764859727.796,46194.57477059894,46204.57477059894,,,,,,,,,,,,,,87.0,2.9,122.67172988487445,45.87852769880249,103.75549999298528,1.1996063203257588,0.2886307720028308,0.3557480166661359,0.05649056220016539,3.0,3.0,0.28981466666785605,0.04865223911192985,6.828303999998752,0.5467511405461606,0.0,0.0,0.4938513788397495,0.46476829949055054,0.03275656113695157,0.18739734637629693,1.3980737943213197,0.5747126436781609,1.3,6.0,25.0,8.0,46.0,24.0,0.0,0.5217391304347826,1.0,1.0,128.0,32.0,8.0,1.0,True,,
loaner__332__column_flushing,column_flushing,2,P12,loaner,sess_1764866295975_rj31nl,9607.379269,1764866283.3883903,9597.379269,9607.379269,52.0,0.043333333333333335,1.832325523156335,0.34145311837967046,1.7700141059025718,0.20992091550787118,0.04587172350459758,1.5962711777177936,0.03689870764826031,-0.08490091364883989,0.17322677068611694,-0.08721533974245237,0.022851291992290725,29.0,0.9666666666666667,233.82150000016455,362.5212808848313,120.52100000073553,1.0605970672700675,0.3428051589345439,0.22602745000015906,0.06355255448840434,1.0,1.0,0.309187999999267,,,,0.0,52.0,0.4475207601324313,0.643582033698064,0.18643257233777358,0.09218707326701533,2.1044732232574535,0.4807692307692308,1.6,13.0,35.0,1.0,69.0,25.413390398025513,0.0,0.3683100057684857,0.0,0.0,357.4133903980255,24.0,12.0,1.0,True,0.043333333333333335,
lenovo__222__column_flushing,column_flushing,2,P10,lenovo,sess_1764859992796_enrdj2,46190.57477059894,1764859713.796,46180.57477059894,46190.57477059894,,,,,,,,,,,,,,95.0,3.1666666666666665,114.48307368440223,34.027393087751456,105.49600000376812,1.159180750742285,0.31765910256604823,0.3625297333339404,0.042386248260047,2.0,2.0,0.7732824999984588,0.46227650000219017,18.529292999999598,0.0,1.0,0.0,0.5174959254081212,0.35634813932852183,0.03700155289368705,0.1803306347624455,1.3058114517116823,0.5789473684210527,0.9,6.0,25.0,8.0,46.0,10.0,0.0,0.21739130434782608,1.0,1.0,114.0,30.0,8.0,1.0,True,,
lenovo__232__column_flushing,column_flushing,2,P14,lenovo,sess_1764872309516_ivesvw,58733.29869623953,1764872256.516,58723.29869623953,58733.29869623953,1440.0,1.2,2.993457573083415,0.3779580151768344,3.0197113169954526,0.49544135462924555,0.06339821434615753,2.069173950847437,0.5366844302905531,0.03592431217137045,0.12280359378572683,0.036980618081687316,0.02196213505382518,99.0,3.3,129.02991414078068,47.028728374709786,110.29799999960233,1.2833587267633666,0.2006000343596608,0.4257987166645762,0.08665979327007366,3.0,3.0,0.8202983333346007,0.4846387347787714,11.061871500001871,0.16618783720286315,1.0,1441.0,0.5205583245602365,0.5026142428182805,0.07091415253810027,0.25042379633397327,1.7690221821950531,0.45246356696738377,3.9,12.0,34.0,2.0,13.0,12.0,0.0,0.9230769230769231,0.0,1.0,336.0,74.0,9.0,1.0,True,1.2,
lenovo__222__column_flushing,column_flushing,2,P10,lenovo,sess_1764859992796_enrdj2,46362.57477059894,1764859885.796,46352.57477059894,46362.57477059894,,,,,,,,,,,,,,111.0,3.7,134.0965270264696,48.02810406461125,119.49250000179744,1.2358171307904602,0.23031316065275204,0.4961571499979376,0.05253007905845036,2.0,2.0,0.4067429999959131,0.1669680000013614,5.746500000001106,0.0,1.0,0.0,0.5056048917383374,0.31977288081588534,0.06488983685768829,0.11161426952867617,1.0523492748202994,0.7747747747747747,1.5,10.0,32.0,4.0,35.0,20.0,0.0,0.5714285714285714,0.0,0.0,286.0,37.0,10.0,1.0,True,,
lenovo__242__column_flushing,column_flushing,2,P15,lenovo,sess_1764872801388_fahhv6,59132.546732,1764872655.7619927,59122.546732,59132.546732,1063.0,0.8858333333333334,3.2989422203592262,0.2665076174180978,3.3341810540608927,0.18827732075481318,0.02645449051515731,2.882490702983709,0.2589536649771067,0.06670158697249087,0.08111965915252016,0.08041430771409318,0.00866393169285348,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,9.0,31.0,5.0,23.0,15.33499264717102,0.0,0.6667388107465662,0.0,1.0,179.33499264717102,0.0,0.0,1.0,True,0.8858333333333334,
loaner__332__column_flushing,column_flushing,2,P12,loaner,sess_1764866295975_rj31nl,9440.379269,1764866116.3883903,9430.379269,9440.379269,854.0,0.7116666666666667,2.195134257601331,0.21162347130120426,2.171425131225539,0.3211663193794023,-0.049958721161738925,1.4095707541022469,0.24642245896843118,0.08880648652620544,0.08988573865846315,0.09352014815185188,-0.024887255974018693,130.0,4.333333333333333,144.88687307682716,50.86747727694814,137.99399999879824,1.1449506993539904,0.3325382168534448,0.6278431166662509,0.05083635604251219,2.0,2.0,0.9722709999996368,0.8472680000004402,14.093159999998534,0.0,1.0,853.0,0.4606602843131905,0.5960865390457153,0.05425986760396542,0.09965721629026157,0.8252723076421074,0.8194607268464243,2.9,7.0,26.0,7.0,75.0,70.41339039802551,0.0,0.9388452053070069,1.0,1.0,190.4133903980255,13.0,8.0,1.0,True,0.7116666666666667,
lenovo__242__column_flushing,column_flushing,2,P15,lenovo,sess_1764872801388_fahhv6,59082.546732,1764872605.7619927,59072.546732,59082.546732,405.0,0.3375,3.3682422969324883,0.6224961209895128,3.2222941883266607,0.7117475399147666,0.09825262058761662,3.1125649203357737,0.4348681780332404,0.07405543898776625,0.19116710505866777,0.10311030820581492,0.0321780528310393,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,7.0,26.0,7.0,75.0,14.33499264717102,0.0,0.1911332352956136,0.0,0.0,129.33499264717102,0.0,0.0,1.0,False,0.3375,
